 abandon[動],断念する、捨てる、見捨てる
 absurd[形],ばかげた、道理に合わない
 abuse[名],悪用、濫用
 accent[名],なまり、アクセント、口調
 accord[動],（許可などを）与える
 accounting[名],会計、経理
 acid rain[名],酸性雨
 acquire[動],習得する、獲得する、手に入れる
 acre[名],エーカー
 adjustment[名],調節、適合、適応
 administration[名],管理、経営、政権
 admission[名],入場（料）、入会（料金）、入学（許可）
 advise[動],忠告する、助言する
 age[名],時代
 alert[形],警戒して、油断のない、注意を怠らない
 alien[名],宇宙人、外国人
 alike[副],同様に
 altogether[副],完全に、全部で
 amaze[動],びっくりさせる、驚かす
 amuse[動],面白がらせる
 angle[名],角度、角
 annoy[動],悩ませる、いらいらさせる
 approximately[副],およそ、約～
 apt[形],～しがちである、～する傾向がある
 arch[名],アーチ
 artificial[形],人工の、人工的な
 associate[名],仲間
 athletic[形],運動競技の、運動好きの
 Atlantic[名],（the -）大西洋
 await[動],待つ
 awake[形],目を覚まして、目が覚めて
 awareness[名],気づいていること、認識
 bacteria[名],バクテリア、細菌（類）（複数形）
 balanced[形],バランスの取れた、バランスの良い
 ban[動],禁止する
 bare[形],むきだしの、露出した
 basically[副],基本的に、根本的に
 belief[名],信念、確信、信条
 besides[前],～に加えて、～のほかに
 bet[動],きっと～だと思う
 Bible[名],聖書
 biotechnology[名],バイオテクノロジー、生物工学
 blank[形],空白の、白紙の
 blush[動],赤面する
 bone[名],骨
 carbon[名],炭素、カーボン（紙）
 caring[形],思いやりのある、面倒見の良い
 chamber[名],部屋、応接室、議院
 charity[名],慈善、慈善団体
 chart[名],図、グラフ
 check[名],（レストランの）伝票
 checkout[名],レジ、（ホテルの）チェックアウト、図書館での本の貸し出し手続き
 checkup[名],健康診断、検査、点検
 cheer[動],励ます、元気づける
 chemist[名],化学者
 chemistry[名],化学
 childish[形],子供じみた
 clash[動],衝突する
 coating[名],上塗り、コーティング
 collective[形],集団の、共同の
 column[名],列、欄
 communicative[形],情報伝達の、意思疎通の
 communist[名],共産主義者
 competitiveness[名],（製品などの）競争力
 composer[名],作曲家
 comprehensive[形],包括的な、広範囲な
 compulsory[形],必修の、強制的な、義務の
 concede[動],譲歩する、（しぶしぶ）認める
 concession[名],譲歩
 condemn[動],非難する
 conference[名],会議、協議会
 confront[動],直面する、取り組む、対決する
 connect[動],つなぐ、接続する
 consent[名],同意、承諾
 considerable[形],(数量、程度などが）かなりの
 consideration[名],考慮、斟酌
 consumption[名],消費
 contrary[形],反対の
 controversy[名],論争
 convenience[名],便利、好都合、便利なもの／設備
 conviction[名],確信、有罪判決
 convince[動],納得させる、説得する
 cop[名],警官、刑事
 cost[動],（お金、労力などが）かかる
 craft[名],工芸、技術
 critical[形],重大な、決定的な、危機的な、
 crucial[形],重要な、決定的な
 cruise[動],巡航する
 crush[動],押しつぶす、粉砕する
 cure[動],（病気などを）治す
 cycle[動],自転車に乗る、循環する
 decline[名],減退、減少
 defeat[動],負かす、打ち破る
 defeat[名],敗北
 defense[名],防衛
 delighted[形],喜んで、喜んだ、大いに喜んで
 deposit[動],預金する、預ける、保管する、堆積させる
