abandon[動],断念する、捨てる、見捨てる
 abortion[名],妊娠中絶
 accuracy[名],正確さ、精度
 accuse[動],告発する、非難する
 adapt[動],適応する、適応させる
 address[動],（～に対して）演説する
 adjustment[名],調節、適合、適応
 administration[名],管理、経営、政権
 admire[動],賞賛する、感心する
 admission[名],入場（料）、入会（料金）、入学（許可）
 adopt[動],採用する、導入する
 advertise[動],宣伝する、広告する
 advocate[動],提唱する、支持する、推奨する、弁護する
 affordable[形],買いやすい、手ごろな
 agency[名],代理店
 alcohol[名],アルコール、酒
 alien[名],宇宙人、外国人
 alike[副],同様に
 altogether[副],完全に、全部で
 analysis[名],分析、分析結果
 ancestor[名],祖先、先祖
 anxious[形],心配して、切望して
 applicant[名],応募者、志願者
 approval[名],許可、承認
 approve[動],承認する、了承する
 apt[形],～しがちである、～する傾向がある
 ashamed[形],恥じている
 assign[動],割り当てる、配属する
 associate[動],関連づける、結び付けて考える、連想する
 Atlantic[名],（the -）大西洋
 atmosphere[名],雰囲気
 await[動],待つ
 beforehand[副],前もって、あらかじめ
 biologist[名],生物学者
 bloom[名],花、開花、花盛り
 blush[動],赤面する
 bond[名],債券
 booklet[名],小冊子
 boost[名],押し上げ、（金額などの）上昇
 booth[名],（電話）ボックス、ブース
 bore[動],うんざりさせる、退屈させる
 brand[名],ブランド、銘柄
 bride[名],花嫁、新婦
 broadcast[動],放送する
 broadcast[名],放送
 broken[形],壊れた、故障した、折れた、くじけた
 bronze[名],ブロンズ、青銅色
 Buddhist[名],仏教徒
 bush[名],茂み、低木
 button[名],ボタン
 cage[名],鳥かご、おり
 cancellation[名],取り消し、キャンセル
 capable[形],能力がある
 character[名],（小説などの）登場人物、キャラクター
 characteristic[名],特徴、特性
 charity[名],慈善、慈善団体
 chat[動],雑談をする
 checkout[名],レジ、（ホテルの）チェックアウト、図書館での本の貸し出し手続き
 chest[名],胸
 chief[形],主な、最高位の
 classical[形],古典的な、正統派の、（音楽が）クラシックの
 classify[動],分類する
 client[名],顧客、依頼人
 collapse[動],崩壊する
 comfort[動],元気づける、慰める
 comprehend[動],理解する
 compulsory[形],必修の、強制的な、義務の
 concern[動],心配させる、関心を持たせる
 concern[名],関心事、懸念、心配
 conclude[動],結論を下す、終える
 concrete[形],具体的な
 conference[名],会議、協議会
 confusing[形],紛らわしい
 conscious[形],意識して、気づいて、意識の強い
 consistently[副],首尾一貫して、常に
 consult[動],相談する、参照する
 content[形],満足して
 contribute[動],与える、貢献する
