abolish[動],廃止する、なくす
 absorb[動],吸収する
 accomplished[形],成就した、完了した、熟達した
 accordance[名],合致、一致、調和
 ache[名],痛み
 acoustic[形],聴覚の、音響（学）の
 acquaintance[名],知り合い、知人
 additionally[副],そのうえ、もっと
 adolescence[名],青年期、思春期
 adolescent[形],青年期の、思春期の
 adulthood[名],大人であること、大人の時代
 adverse[形],有害な、不利な、敵対する、逆方向の
 agenda[名],議事、議題、議事日程
 allege[動],主張する、断言する、申し立てる
 allergy[名],アレルギー
 allocate[動],割り当てる、配分する
 allowance[名],こづかい、手当
 alternatively[副],あるいは、代わりに
 ambiguous[形],曖昧な、不明瞭な、どちらともとれる
 amendment[名],改正、修正、修正条項
 anonymous[形],匿名の
 applause[名],拍手喝采、賞賛
 aptly[副],適切に、ふさわしく
 arc[名],弧、円弧
 archaeologist[名],考古学者
 archive[名],公文書、記録、記録保管所
 arena[名],試合場、コンサート会場
ascribe ～ to …,… の原因を～に帰する、… を～のせいにする
 aspiration[名],切望、抱負
 assassinate[動],暗殺する
 assemble[動],組み立てる、集める
 assembly[名],組み立て、集会、議会
 attribute[名],特性、属性
 autobiography[名],自叙伝
 autograph[名],サイン、自筆
 automation[名],自動化、オートメーション（※機械による自動操業）
 autonomous[形],自律的な、自主的な、自治の
 aviation[名],飛行、航空（学）
 awaken[動],換気する、起こす
 barometer[名],気圧計
 batch[名],（人、物の）一団、一群、一束
 beam[名],光線、（建物の）梁
 bind[動],縛る、拘束する、束縛する
 binding[形],拘束力のある
 bishop[名],主教、司教
 blank[名],余白、空欄
 bleak[形],暗い、希望のない、寒々しい、荒れはてた
 bless[動],祝福する、恩恵を与える
 bodily[形],身体（肉体）上の、物質上の
 bout[名],（病気、不快の）一時的な期間、発作
 breach[名],（約策、契約などの）違反、不履行
 breakthrough[名],飛躍的進歩、躍進
 bribe[動],買収する、賄賂を贈る
 brick[名],れんが
 brisk[形],きびきびした、活気のある
 buckle[動],バックルで留まる/留める、折れ曲がる
 bulk[名],大部分、大半
 bulky[形],大きい、かさばる、扱いにくい
 bullet[名],弾丸、銃弾
 bungalow[名],平屋住宅
 bureaucracy[名],官僚政治、官僚制度
 bureaucrat[名],官僚
 burnt[形],焼けた、焦げた
 camel[名],ラクダ
 canal[名],運河、用水路
 capability[名],能力、才能
 carriage[名],車両、四輪馬車
 cartoon[名],マンガ
 cater[動],（食事などを）まかなう、提供する、（要求に）応じる
 cattle[名],（集合的に）牛
 ceiling[名],上限、許容限度
 charge[動],非難する、告発する
 charge[名],罪、容疑
 cherish[動],心に抱く、大事にする
 chic[形],上品な、粋な、シックな
 china[名],陶磁器
 circulate[動],広まる、配布される、循環する
 cleanup[名],大掃除、片付け
 cling[動],しがみつく
 clinical[形],臨床の
 clone[名],クローン
 coffin[名],棺
 coin[動],造語する、鋳造する
 column[名],円柱
 commodity[名],商品、日用品、産物
 commonwealth[名],連邦、（the C-）英連邦
 complement[動],補完する
 compose[動],構成する
 composite[形],混成の
 comprise[動],（～から）成る、（～を）包含する、（～を）構成する
 computerization[名],（情報の）コンピューター化、電子化
 conceive[動],思いつく、考え出す
 conductor[名],避雷針、伝導体、指揮者
 confine[動],（ある範囲に）限定する、制限する
 conform[動],（規則などに）従う、一致する
 consecutive[形],連続した、間をおかない
 consensus[名],合意、意見の一致
 consistency[名],一貫性
 constitute[動],構成する
 contaminate[動],汚染する
contamination[名],汚染
 continuity[名],連続、継続性、連続体
 convene[動],招集する
 cool[形],スゴイ、かっこいい、すばらしい
 coordinate[動],協調させる、調整する
 corpse[名],死体
 corrupt[形],腐敗した、堕落した
 corruption[名],汚職、腐敗、不正
 courtesy[名],礼儀
 cozy[形],居心地のよい
 cramped[形],痙攣を起こした
 credibility[名],信用できること、信頼性
 criterion[名],基準、尺度
 cruising[形],巡航速度の
 crust[名],地殻、パンの耳、外側の硬い部分
 curative[形],治療の、病気に効く
 curb[動],抑える、抑制する
 curve[名],（道路などの）カーブ、曲線
 custody[名],養育権、保護、拘留
 customary[形],習慣的な、慣例の、通常の
 dampen[動],湿らせる
 dazzling[形],目がくらむほどの、すばらしい、まばゆい
 decidedly[副],断然、決定的に
 decisive[形],決定的な、明白な
 deem[動],～と見なす、～と考える
 deficiency[名],不足、欠乏
 definitive[形],最終的な、決定的な、完成した
 degradation[名],格下げ、低下、墜落、退廃
 delicate[形],繊細な、細心の注意を要する
 depict[動],描く、描写する
 deplete[動],（資源などを）消耗する、使い果たす
 derive[動],（化合物を）抽出する、引き出す
 derive[動],由来する
 descriptive[形],記述的な、描写的な
 despise[動],見下す、軽蔑する
 detach[動],引き離す、はずす
 detain[動],拘束する、引き留める
 devise[動],考案する、考えだす
 devour[動],をむさぼり食う、がつがつ食う
 dialect[名],方言
 diameter[名],直径
 dictator[名],独裁者
 dimension[名],側面、特質、次元
 disabled[形],身体に障害のある
 disapproval[名],不賛成
 discipline[名],学問分野
 dismantle[動],（機械などを）分解する
 disorder[名],（心身機能の）障害、疾患
 disorder[名],無秩序、混乱
 displace[動],立ち退かせる、置き換える、取って代わる
 disposal[名],処分、処理、売却
 dissatisfaction[名],不満
 distressing[形],悲惨な、苦悩に満ちた
 distributor[名],卸売業者、販売代理店
 dividend[名],配当、分け前
 drainage[名],排水
 drastic[形],徹底的な、劇的な、思い切った
 drawing[名],線画、描画、図面、抽選（会）
 dual[形],二重の、二面性を持った、二つの物事を表す
 durable[形],耐久性のある、丈夫な
 earthworm[名],ミミズ
 eccentric[形],奇妙な、奇抜な、風変わりな、常軌を逸した
 educated[形],教養のある
 ego[名],自尊心、うぬぼれ、自己、自我、慢心
 embrace[動],抱擁する、（考えなどを）受け入れる、（中に）含む
 empty[動],空にする、捨てる
 enclose[動],囲む、同封する
 encyclopedia[名],百科事典
 enrich[動],豊かにする
 enrollment[名],登録、入学
 entangle[動],もつれさせる、絡ませる
 entity[名],存在、実在する物
 environmentalism[名],環境保護主義（運動）
 erect[動],建てる、直立させる
 esteem[名],尊敬、尊重
 ex-wife[名],前の妻
 excitable[形],興奮しやすい
 exclaim[動],叫ぶ
 existent[形],現存する、実在する、既存の
 expel[動],追放する、排出する
 expire[動],期限切れになる、息をひきとる
 exterior[名],外側、外観
 extinction[名],絶滅、消滅
 fabulous[形],素晴らしい
 factual[形],事実の（に関する、に基づく、上の）
 fairy[形],妖精の（ような）
 fan[動],扇形に広がる
 favorably[副],好意をもって
 feat[名],業績、功績
 fertility[名],肥沃、多産、受精率
 filthy[形],卑猥な、不潔な
 finance[動],出資する
 fixture[名],(家屋の）備品
 flatly[副],きっぱりと
 flaw[名],欠陥、不具合、不備
 fluid[名],液体、流動体
 foe[名],敵、かたき
 formulation[名],製剤、調合、公式化
 fracture[名],割れ目、裂け目、骨折
 fractured[形],粉々になった、破砕した
 framework[名],枠組み
 fringe[名],へり、周辺部
 frontier[名],国境、未開拓分野、新しい領域、辺境
 fulfillment[名],実現
 gauge[動],測定する、評価する、判断する
 gauge[名],計器
 gender[名],（社会的・文化的）性別
 genetics[名],遺伝学
 geography[名],地理、地理学
 geometry[名],幾何学
 germ[名],細菌
 gifted[形],天分のある、才能のある
 given[前],～を仮定（考慮）すれば
 glacier[名],氷河
 gloomy[形],陰気な、薄暗い
 gravity[名],（ことの）重大さ
 graze[動],（家畜などが）草を食べる、（家畜などに）草を食べさせる
 greedy[形],どん欲な、欲の深い
 ground[名],根拠、理由、前提
 grove[名],木立、小さい林
 guardian[名],保護者、管理者
 gulf[名],湾
 gymnasium[名],体育館
 habitat[名],生息地、生息環境
 handicraft[名],手細工、手芸、（通例～s）手工芸品
 hardship[名],苦難、困窮
 hatch[動],（卵が）かえる、孵化する
 hazard[名],危険
 hazardous[形],（化学物質などが）（人体に）有害な
 helpless[形],無力な
 hence[副],それゆえに
 herd[名],（牛などの）群れ
 horrific[形],恐ろしい
 horseshoe[名],蹄鉄
 humble[形],卑しい、身分が低い
 hydrogen[名],水素
 illusion[名],錯覚、思い違い、幻想
 imbalance[名],不均衡
 imminent[形],差し迫った、切迫した
 immune[形],免疫の、免疫のある
 implication[名],含蓄、ほのめかし、結果
 implicit[形],暗黙の
 imprisonment[名],（刑務所への）投獄
 impulsively[副],衝動的に
in (the) light of ～,～を考慮して、～から見て
 incentive[名],誘因、（やる気を）駆り立てるもの
 incidentally[副],偶然に、付随的に
 incoherent[形],一貫性のない、つじつまの合わない
 incomplete[形],不完全な
 inconsistency[名],不一致、矛盾
 indication[名],しるし、兆候
 indifferent[形],無関心な
 induce[動],引き起こす、誘発する、説得する
 industrialization[名],産業化、工業化
 inevitably[副],不可避的に
 informed[形],知識のある
 ingenious[形],巧妙な、独創的な
 inland[形],内陸の、内地の、奥地の
 insane[形],気が狂っている、正気でない
 insult[動],侮辱する
 insulting[形],侮辱的な
 intact[形],無傷の、完全な姿の、手をつけられていない
 intake[名],取り入れ、摂取量
 intensify[動],激化する
 interface[名],接点、境界面、インターフェイス
 interval[名],間隔、隔たり
 intimacy[名],親密さ
 intriguing[形],興味深い、興味をそそる
 intrinsic[形],固有の、本来備わっている
 introductory[形],紹介の、導入の、入門的な
 intuition[名],直感、直観力
 ironic[形],皮肉な
 irritable[形],怒りっぽい、短気な
 isolation[名],孤立、分離
 jerk[名],急に動くこと
 juvenile[形],青少年の、未成年者の
 laziness[名],怠惰
 leaflet[名],ちらし、パンフレット
 legislation[名],立法、法律の制定
 lengthy[形],長い、長期にわたる、冗長な
 lexical[形],語彙の
 liberation[名],解放、釈放
 likelihood[名],公算、見込み、可能性
 limb[名],手足、肢
 linguistic[形],言語の、言語学の
 livelihood[名],生計、生活手段
 living standard[名],生活水準
 lizard[名],トカゲ
 lucrative[形],利益の上がる、もうかる
 lunar[形],月の
 manifest[動],明らかに示す
 manifestation[名],表れ、証し、明示、表示
 manuscript[名],原稿
 materialize[動],現実に起こる、具体化する
 mature[動],（人が）円熟する、成熟する、大人になる、成長する
 maze[名],迷路、迷宮
 meaningful[形],意味のある
 Mediterranean[名],地中海
 menace[名],脅威、脅迫
 mercy[名],慈悲、哀れみ、情け
metropolitan[形],大都市の、首都圏の
 microscope[名],顕微鏡
 midst[名],まっただ中
 migrate[動],移動する、移住する、（鳥などが）渡る
 miner[名],鉱山労働者
 mint[動],（貨幣を）鋳造する
 mobility[名],可動性、流動性
 mock[動],ばかにする、物まねをしてふざける
