 abbreviate[動],（言葉などを）短縮する、省略する
 abbreviation[名],略語、短縮形
 abdomen[名],腹部、胴体
 abduction[名],誘拐
 abolition[名],廃止、撤廃
 abominable[形],嫌悪感を引き起こす、言語道断な
 aboriginal[形],先住の、原生の
 absentee[名],欠席者
 abundant[形],豊富な、十分な
 accused[名],（theとともに用いて）被告人
 accustom[動],～を慣れさせる
 adherent[名],支持者、信奉者
 adhesive[名],接着剤
 adoption[名],養子縁組
 advent[名],出現、到来
 affliction[名],苦痛、苦難
 ail[動],患う、苦しめる
 alchemy[名],錬金術
 algebra[名],代数
 allotment[名],割当、配当
 altitude[名],高度、標高
 ambivalence[名],相反する感情、ためらい
 amicable[形],友好的な
 Antarctic[形],南極の
 anther[名],(花の雄しべの)やく
 antibiotic[名],抗生物質
 apprehension[名],懸念、心配
 arduous[形],骨の折れる、難儀な、つらい
 arduously[副],骨を折って、苦労して
 asymmetric[形],非対称な、不釣合いの
 audible[形],聞こえる、聞き取れる
 augment[動],（～を）増やす、増補する
 autocrat[名],独裁者、専制君主
 banish[動],追放する、追い払う
 beset[動],悩ませる、つきまとう
 bill[動],～に請求する、～に請求書を送る
 bimonthly[副],隔月に
 binary[形],２進法の
 biosphere[名],生物圏、生活圏
 blowhole[名],（クジラなどの）噴気孔
 bluish[形],青みがかかった
 bovine[形],ウシ（属）の、のっそりした
 breadth[名],幅、広がり
 brier[名],いばら
 built-in[形],作り付けの
 burgeon[動],急増する、急成長する
 caliber[名],器量、力量、銃の口径
 candor[名],素直さ、誠実さ、公平
 canon[名],規範、基準、教会の法規
 captivity[名],捕らわれの身、隷属、拘留
 cardiac[形],心臓の
 cardinal number[名],基数
 celestial[形],天の、空の、天体の
 cellular[形],細胞の、細胞から成る
 Celsius[名],摂氏
 censor[動],検閲する
 censure[名],非難、不信任
 chivalry[名],騎士道
 chore[名],雑用
 choreographer[名],振付師
 chronicle[名],年代記、記録
 chrysalis[名],(ガやチョウの)さなぎ
 chubby[形],丸々太った
 clad[形],（～の）衣服を着た
 clam[名],ハマグリ
 claw[名],（鳥、動物などの）かぎつめ、（カニなどの）はさみ
