 abacus[名],そろばん
 abhor[動],嫌う
 abode[名],家
 accentuate[動],を際立たせる、強調する
 act[名],法令
 action[名],作用
 adjacent[形],近くの、（～に）隣接した (to ～)
 aerate[動],を空気にさらす、通気する
 aerial[形],空中の、空気の
 afflict[動],悩ます、苦しめる
 affluence[名],富裕、豊富さ
 alcoholism[名],アルコール依存症
 amber[名],琥珀、こはく色
 amplify[動],増幅する、拡大する
 antagonistic[形],敵対する、対立する
 anthropology[名],人類学
 antiquity[名],古代、遺物、遺跡
 ape[名],（ゴリラ、チンパンジーなどの）類人猿
 apportion[動],割り当てる、配分する、振り分ける
 appraisal[名],査定、評価
 Arctic[名],北極（圏）
 aristocrat[名],貴族
 articulate[動],はっきり述べる
 ascend[動],上がる、登る
 ascertain[動],確かめる
 ascribe[動],原因を帰する
 assimilate[動],同化する、吸収する
 atlas[名],地図帳
 attest[動],証明する、立証する、証拠となる
 auditory[形],聴覚の
 axis[名],軸、軸線
 banal[形],ありふれた、陳腐な
 barley[名],大麦
 barter[名],物々交換
 basin[名],盆地、流域
 beak[名],（鳥などの）くちばし
 bewilder[動],当惑させる、困惑させる
 biodiversity[名],生物多様性
 bird of prey[名],(ワシ、タカなどの)猛きん類
 blatant[形],ずうずうしい、騒々しい、あからさまな、露骨な
 bristle[名],（昆虫やブタなどの）剛毛、針毛
 buck[名],ドル
 burrow[動],穴を掘る、穴を掘って進む
 cactus[名],サボテン
 cajole[動],言いくるめる、おだてて丸め込む
 candid[形],包み隠しのない、率直な、公平な
 capital punishment[名],死刑
 carnivorous[形],肉食性の
 catalyst[名],触媒
 cavern[名],洞くつ
 cedar[名],ヒマラヤスギ
 cholera[名],コレラ
 chuckle[動],くすくす笑う
 clap[動],手をたたく
 coagulate[動],（液体が）凝固する、固まる
 cobblestone street[名],石で舗装された道
 cocoon[名],まゆ
 coexistence[名],共存
 cohesion[名],結束、結合
 collide[動],衝突する、一致しない
 coma[名],こん睡状態
 commence[動],開始する
 communal[形],共同の、公共の、共同社会の
 compliance[名],追従、順守
 compulsion[名],強制、衝動
 conclusive[形],決定的な、最終的な
 concord[名],一致、調和、協調
 concur[動],賛成する、同時に起こる
 condensation[名],凝結、凝縮
 condense[動],濃縮する、要約する
 conductive[形],伝導性の、伝導力のある
 conformity[名],(規則などに)従うこと、適合
 Confucius[名],孔子
 congest[動],混雑する、いっぱいになる
 congestion[名],密集、混雑
 conjecture[名],推測
 contiguous[形],隣接した
 converge[動],収束する
 converse[名],反対、逆
 coral[名],サンゴ、サンゴ虫
 cordial[形],思いやりのある、心からの
 corner[動],窮地に追い込む
 cosmos[名],宇宙
 crease[名],しわ
 credulity[名],すぐに信じ込む性質、だまされやすいこと
 creed[名],（宗教上の）信条
 crescent[名],三日月
 cube[動],３乗する
 cursory[形],大まかな、せっかちの、ぞんざいな
 deed[名],行い、行為
 deflect[動],～をそらす、～の方向を変える
 deform[動],台無しにする、ゆがめる
 delirium[名],（一時的）精神錯乱
 deluge[名],洪水
 delusion[名],妄想
 detachable[形],取り外せる
 detached[形],（考えなどが）客観的な、公平な、切り離された
 detestable[形],憎悪すべき
 didactic[形],教師然とした、教訓的な
 dilate[動],広がる
 dioxide[名],二酸化物
 disoriented[形],方向がわからなくなった、頭が混乱した、道に迷って
 disparity[名],相違
 dispose[動],配列する、配置する
 disruption[名],混乱、中断、妨害、分裂
 diverge[動],分かれる、分岐する、発散する
 doom[動],（失敗、運命などを）決定的なものとする
 double helix[名],（遺伝子の）二重らせん構造
 drowsy[形],眠い、眠気を誘う
 dungeon[名],牢
 elusive[形],理解しにくい、捕えにくい、逃げる
 embed[動],埋め込む、（心、記憶に）刻み込む
 empirical[形],経験的な、実験に基づく
 endow[動],授ける、与える、寄付する
 entomology[名],昆虫学
 epicenter[名],（地震の）震央、震源地
 equivocal[形],はっきりしない、両義にとれる
 erroneous[形],誤った、間違った
 excursion[名],遠足、小旅行
 extinct volcano[名],死火山
 extract[名],抽出物（エキス）
 facile[形],容易な
 fallacious[形],誤った、当てにならない
 fanaticism[名],熱狂、狂信
 feasible[形],実現（実行）可能な
 figurative[形],比喩的な、（絵などで）表現した
 finite[形],限られた、有限の
 firework[名],花火
 floury[形],粉のような
 fluctuation[名],変動
 fluorine[名],フッ素
 frenzy[名],逆上、激高、精神錯乱状態
 Frigid Zone[名],寒帯
 fungus[名],（キノコ、カビ、酵母などの）菌類
 fusion[名],融合、統合、（政党などの）連立
 garrison[名],駐屯軍
 gastric ulcer[名],胃潰瘍
 gill[名],えら
 glacial[形],氷河時代の、氷の、（人や態度などが）冷淡な
 gland[名],（リンパ腺などの）腺
 glossary[名],用語解説、用語辞典
 graffiti[名],落書き
 grope[動],手探りする、体をまさぐる
 growl[動],（犬などが）うなる、怒鳴り声で言う
 hallucinate[動],幻覚を見る
 handily[副],器用に
 harpoon[名],棘
 headstrong[形],頑固な
 heave[動],持ち上げる
 Hebrew[名],ヘブライ人
 herbicide[名],除草剤
 herbivore[名],草食動物
 heroin[名],ヘロイン
 heterosexuality[名],異性愛
 hexagonal[形],６角形の
 hibernate[動],冬眠する
 hibernation[名],冬眠
 hideous[形],見るも恐ろしい
 hog[名],豚
 homosexuality[名],同性愛
 honor student[名],優等生
 House of Representatives[名],下院
 husbandry[名],農業、耕作
 iceberg[名],氷山
 igneous rock[名],火成岩
 impede[動],妨げる、邪魔する
 impediment[名],障害、障害物
 Impressionist[名],印象派
 impromptu[形],即興の、準備なしの
 inaugurate[動],就任させる、始動させる
 inception[名],（活動、組織などの）開始、発端、創設
 incessant[形],絶え間のない
 incidence[名],発生、発生率
 incisive[形],明敏な、鋭い
 incredulous[形],疑い深い
 incubate[動],（卵を）かえす、培養する
 inculcation[名],繰り返し教え込むこと
 indebted[形],恩を受けている
 inductive[形],帰納的な
 inertia[名],慣性、惰性、不活発
 infancy[名],幼年期（時代）
 infectious[形],伝染性の、感染性の
 ingenuity[名],創意、器用さ
 inopportune[形],不適切な
 instructional[形],教育の
 insulate[動],防音する、断熱する、絶縁する
 intangible[形],触ることのできない、ぼんやりした、実体のない
 interdependence[名],相互依存
 interstate[形],州間の
 intruder[名],侵入者
 invert[動],逆にする、転化する、ひっくり返す
 jet lag[名],時差ボケ
 jubilant[形],歓声を上げて喜ぶ
 Judaism[名],ユダヤ教
 jurist[名],弁護士
 kerosene[名],灯油
 kidney[名],腎臓
 kinematics[名],運動学
 kinship[名],親族関係、類似
 laboring[形],肉体労働に従事している
 lagoon[名],潟、潟湖、礁湖
 laissez-faire[名],自由放任主義
 laud[動],賞賛する
 law code[名],法典
 lawless[形],無法の、非合法な、手に負えない
 lawman[名],法執行官
 legume[名],豆科植物
 levy[動],徴収する、賦課する
 life expectancy[名],（平均）寿命、（平均）余命
 liquidation[名],清算
 loom[名],はた織り機
 loquacious[形],おしゃべりの、話し好きな
 lucid[形],分かりやすい、明快な、透明な
 lull[動],あやす、なだめる
 luminous[形],光り輝く、明るい、明白な
 lunatic[形],狂気じみた、ばかげた
 macroeconomics[名],マクロ経済学
 magnetic field[名],磁場
 magnetize[動],磁化する
 mainspring[名],主ぜんまい
 mallet[名],つち
 mammary gland[名],乳腺
 marital[形],結婚の、夫婦間の
 maritime[形],海事の、海の
 marsh[名],沼、湿地
 mean[形],意地の悪い
 meddle[動],干渉する、手出しをする
 mercantile[形],商業の、商人の
 mercury[名],水銀
 Mesozoic times[名],中生代
 meteoroid[名],メテオロイド(流星体)
 midfield[名],ミッドフィールド（※サッカーなどのフィールドの中央部）
 migratory[形],移動の
 mince[動],細かに切る
 mitten[名],手袋
 moldy[形],かび臭い
 mole[名],ほくろ
 monastery[名],修道院
 monotonous[形],単調な、一本調子の
 motorized[形],モーターのついた
 mucous membrane[名],（鼻などの）粘膜
 multiplication[名],乗法
 mystical[形],神秘的な、神秘主義の
 natural rights[名],(自然法に基づく人間の)自然権
 naturalist[名],動物学者
 naughty[形],いたずらな
 nearsighted[形],近視の
 negative charge[名],マイナス電荷
 Neptune[名],海王星
 neutron[名],中性子
 nocturnal[形],夜行性の、夜の
 nucleic[形],核の
 nugget[名],金塊
 objective[名],対物レンズ
 observant[形],油断のない
 observatory[名],観測所、天文台、気象台
 obsessed[形],とりつかれている
 ominous[形],不吉な、悪いことの前兆となる
 omnivore[名],（人間などのように）雑食性の動物
 onlooker[名],傍観者
 OPEC[名],石油輸出国機構
 optical[形],視覚の、光学の
 order[名],（生物分類の）目(もく)
 osteoporosis[名],骨粗鬆(そしょう)症
 outpatient[形],外来の
 outright[副],完全に、明白に
 outweigh[動],～より重い、～に勝る、～を上回る
 overanxious[形],過保護な
 overcrowd[名],混雑
 oxidation[名],酸化
 pacifist[名],平和主義者
 palate[名],口蓋(こうがい)
 Paleolithic Age[名],旧石器時代
 paleontologist[名],古生物学者
 parameter[名],要因、媒介変数、パラメーター
 parasitic[形],寄生の
 parody[名],パロディー、猿まね
 partisan[名],熱心な支持者、同志
 partition[名],分割、仕切り
 pathology[名],病理学
 pedestal[名],台座、台
