abate[動],和らぐ、治まる、少なくなる
 abound[動],たくさんある（いる）、あふれている
 acclimatize[動],（気候や環境に）慣れる
 accountability[名],説明義務（責任）
 accustom[動],～を慣れさせる
 acidification[名],酸化
 acronym[名],頭字語、頭文字語
 activate[動],活性化する、作動させる
 acupuncture[名],針療法
 addictive[形],中毒性のある、習慣性のある
 admonish[動],～に忠告する、～を諭す
 adorn[動],を（～で）飾る、装飾する
 adversity[名],逆境、災難、不運
 affinity[名],親近感、共感、類似性
 affluent[形],裕福な、豊富な
 afterglow[名],残光、余光、夕映え、余韻
 aftermath[名],影響、結果、余波
 agent[名],因子、作用物質
 aggravate[動],悪化させる、深刻にする
 agrarian[形],農地の、農業の、農民の
 airspace[名],領空、空域
 airy[形],空気（大気）の
 albeit[接],～とはいえ、たとえ～といえども
 alight[形],燃えて
 alleviate[動],（苦痛などを）軽減する、和らげる
 allot[動],割り当てる、配分する
 altimeter[名],高度計
 amass[動],蓄積する、集める
 amenable[形],従順な
 amphibian[名],両生類
 annihilate[動],全滅させる、完全に破壊する
 annotation[名],注釈
 annum[名],年
 anthropology[名],人類学
 antidote[名],解毒剤
 apex[名],頂点、頂上、先端
 appease[動],なだめる、鎮める、和らげる
 appraise[動],評価する、値を付ける
 appreciable[形],かなりの、感知できるほどの
 apprentice[名],見習い、実習生
 aquifer[名],帯水層
 arbitrary[形],任意の、恣意的な、気まぐれな
 arboreal[形],樹木の、樹木にすむ
 archipelago[名],群島、諸島
 arson[名],放火（罪）
 arthritis[名],関節炎
 artifact[名],人工物、工芸品、加工品、人工遺物
 ascribe[動],原因を帰する
 assortment[名],詰め合わせ、寄せ集め
 asylum[名],亡命、庇護、保護施設
 atone[動],（罪などの）償いをする、あがなう
 atrophy[名],（身体器官の）萎縮、（機能の）退化
 attention-grabbing[形],注目度抜群の
 attest[動],証明する、立証する、証拠となる
 augment[動],（～を）増やす、増補する
 autocratic[形],独裁的な、専制（君主）の
 avalanche[名],雪崩
 balance[名],（銀行の）残高
balk at ～,～をためらう
 basalt[名],玄武岩
 bead[名],数珠玉、ビーズ
 bellicose[形],好戦的な、けんか腰の
 benign[形],（腫瘍などが）良性の
 beverage[名],飲み物、飲料
 biofuel[名],バイオ（生物）燃料
 bladder[名],膀胱
bode well/ill,良い/悪い前兆となる
 bombard[動],攻め立てる、を砲撃する、(質問などを)浴びせる
 boulevard[名],広い並木通り
 box office[名],切符売り場
 breadbasket[名],パンのかご、穀倉地帯
 brittle[形],もろい
 buck[名],ドル
 buffer[名],衝撃を和らげる、緩和する
 burrow[名],（動物の）穴、隠れ場
 by-product[名],副産物、副生成物、副作用
 calf[名],子牛、（クジラ、シカ、ゾウなどの）子ども
 canteen[名],（工場、学校などの）食堂、売店
 capricious[形],気まぐれな、移り気な
 capsize[動],（船などが）転覆する、ひっくり返る
 cardiac[形],心臓の
 carousel[名],回転コンベヤー（システム）
 carving[名],彫刻（すること）
 castration[名],去勢
 catalyst[名],触媒
 catastrophic[形],壊滅的な
 caulk[動],隙間を詰める
 charismatic[形],カリスマ性のある、カリスマ的な
 chastity[名],純潔、貞操、高潔、純真
 chrome[名],クロム、クロム合金
 circumscribe[動],を制限する、の周りに線を引く
 classified[形],機密扱いの
 clerical[形],事務の、事務職の
 clientele[名],（集合的に）顧客、依頼人
 cognitive[形],認知の、認知に関する
 cohesive[形],結合力のある、粘着する
 collaborative[形],協同の
 collate[動],ページ順をそろえる、照合する
 collude[動],共謀する、結託する
 colonize[動],植民地化する、コロニーを作る
 color[動],影響を及ぼす、特徴付ける
 communal[形],共同の、公共の、共同社会の
 compound[動],悪化させる
 computerized[形],コンピューター化された
 concave[形],凹面の、凹形の
 conformity[名],(規則などに)従うこと、適合
 congestion[名],密集、混雑
 conifer[名],球果植物、針葉樹
 conjecture[名],推測
 consanguinity[名],血縁関係、密接な結びつき
 conserve[動],保護（保存）する
 considerate[形],思いやりのある、理解のある
 constrain[動],抑制する、を強いる
 contrive[動],を考え出す、を発明する
 coolant[名],冷却水（液、剤）
 corpus[名],言語資料、コーパス
 cosmic[形],宇宙の
 cosmopolitan[形],世界主義的な、全世界的な
 cosset[動],を（過度に）かわいがる、甘やかす
 courtship[名],求愛行動、交際（期間）
 cram[動],詰め込む、一夜漬けの勉強をする
 cramped[形],痙攣を起こした
 crash[形],応急的な、一気に行う
 credence[名],信用、信頼
 credentials[名],資格証明書、信用証明物、信任状
 cripple[動],肢体を不自由にする
 crippling[形],壊滅的な、ひどく有害な
 crockery[名],瀬戸物、陶器類
 culminate[動],結果的に～になる、最高潮に達する
 cumbersome[形],扱いにくい、厄介な
 custodial[形],勾留の、保護（者）の、後見の
 cutting-edge[形],最先端の（を行く）
 cylindrical[形],円柱の、円筒形の
 damning[形],（証拠などが）有罪を証明する
 daydream[名],白日夢、空想
 deadstock[名],農機具、売れ残り品
 deduce[動],推定する、推論する、演繹する
 deductive[形],演繹（えんえき）的な、推論的な
 default[名],（義務の）不履行
 deference[名],服従、敬意、尊敬
 degenerate[動],低下する、悪化する
 degenerative[形],退化的な、退行性の
 demolition[名],破壊、解体
 dent[動],へこませる、傷つける
 dent[名],（衝撃を受けてできた小さな）へこみ
 deplore[動],非難する、遺憾に思う、嘆く
 deportment[名],（洗練された）振る舞い、物腰、態度
 depression[名],うつ病
 desolate[形],荒廃した、不毛の
 determinant[名],決定要因
 detract[動],（価値などを）損なう、おとしめる
 devastating[形],悲惨な、壊滅的な
 deviate[動],（～から）逸脱する
 dietician[名],栄養士
 diffuse[動],散らす、拡散する
 diffusion[名],発散、普及
 dilapidate[動],荒廃させる、破損させる
 discern[動],見分ける、識別する
 discredit[動],の信用を傷つける
 discursive[形],とりとめのない、広範囲にわたる
 disenchantment[名],幻滅、失望
 disfigure[動],の美観を損なう、を醜くする
 disillusion[名],幻滅（感）、覚醒
 disintegrate[動],崩壊する（させる）、分解する（させる）
 disinterest[名],無関心
 disjoint[動],分離する、解体する
 disjunction[名],分離、分裂、乖離
 disorderly[形],無秩序な、混乱した、乱雑な
 disparity[名],相違
 dispense[動],分配する、施す
 disproportionate[形],不釣り合いな、不均衡な
 disproportionately[副],過度に、非常に、不釣り合いに
 disprove[動],（～の）反証を挙げる、誤っていることを示す、（～を）論ばくする
 dissipate[動],散らす、追い払う
 dogma[名],教養、定説、独断
 domain[名],分野、領域、範囲
 domesticated[形],（動植物が）家畜化された
 dormant[形],（火山が）活動休止中の、休眠中の
 dough[名],パン生地、こね粉
 droplet[名],小さな滴
 droppings[名],（動物の）ふん、肥やし
 dungeon[名],牢
 dwindle[動],徐々に縮小/減少する、だんだん衰える
 dyke[名],堤、堤防、岩脈
 earthenware[名],土器、陶器
 eco-friendly[形],環境（生態系）に優しい
 elixir[名],万能薬、錬金薬液
 elucidate[動],を明らかにする、解明する
 embryo[名],胚
 encase[動],を箱などに入れる、すっぽり覆う
