abolish[動],廃止する、なくす
 abruptly[副],不意に、突然
 absorb[動],吸収する
 accommodation[名],（複数形で）宿泊施設、収容設備
 accomplished[形],成就した、完了した、熟達した
 accustomed[形],慣れている（to ～）
 acquaintance[名],知り合い、知人
 acute[形],（痛みなどが）急性の、激しい
 adolescence[名],青年期、思春期
 affiliate[動],提携する、提携させる
 agenda[名],議事、議題、議事日程
 aging[名],老化、高齢化
 agreeable[形],快適な、心地よい、感じの良い
 alliance[名],同盟、提携
 allocate[動],割り当てる、配分する
 ally[名],同盟国、同調者、支持者
 alongside[副],そばに、横に
 amend[動],（法律などを）修正する
 amendment[名],改正、修正、修正条項
 ample[形],豊富な、十分すぎるほどの
 anonymous[形],匿名の
 anticipate[動],予期する、予想する
 armed[形],肘つきの、武装した
 array[名],配列、隊列
 arrogance[名],傲慢さ
 assemble[動],組み立てる、集める
 assembly[名],組み立て、集会、議会
 attribute[動],起因すると考える、おかげであるとする
 audit[名],会計監査
 authorize[動],公認する、権限を与える
 autobiography[名],自叙伝
 aviation[名],飛行、航空（学）
 bankruptcy[名],破産、倒産
 barometer[名],気圧計
 betray[動],裏切る、だます、（秘密などを）漏らす
 bin[名],ごみ箱、容器、大箱
 biography[名],伝記、略歴
 blend[名],混合(物)
 blueprint[名],設計図、青写真
 boast[動],自慢する、誇る
 bolster[動],元気付ける、高める、強化する
 bouquet[名],花束
 brand-new[形],真新しい、新品の
 breakthrough[名],飛躍的進歩、躍進
 breathtaking[形],息を飲むような、驚くほどの
 bribe[名],賄賂
 broom[名],ホウキ
 brutal[形],残忍な、野蛮な
 bulk[名],かさ、容量、大量
 bullet[名],弾丸、銃弾
 bump[動],ぶつかる、ぶつける
 cab[名],タクシー
 cargo[名],積み荷、貨物
 carve[動],彫る、刻む
 casualty[名],犠牲者、死者
 cattle[名],（集合的に）牛
 celebrity[名],有名人、セレブ
 certified[形],有資格の、公認の
 cherish[動],心に抱く、大事にする
 china[名],陶磁器
 circulate[動],広まる、配布される、循環する
 citizenship[名],市民（公民）権
 civic[形],市民の
 classification[名],分類、区分
 clumsy[形],下手な、不器用な、ぎこちない
 coincide[動],一致する、同時に起こる
 collaborate[動],協力する、共同する
 collaboration[名],協力、協同
 collision[名],衝突、対立
 commission[動],委任する、任命する
 commissioner[名],局長、委員
 compensate[動],賠償（補償）する
 compensation[名],賠償、補償
 competitively[副],競争して、競合的に
 compile[動],編集する、編纂する
 compose[動],構成する
 concerning[前],～に関して、～に関する
 concise[形],簡潔な
 confines[名],範囲、制約
 congress[名],会議、総会、（C～）（米国の）連邦議会
 consecutive[形],連続した、間をおかない
 constitution[名],憲法
 contend[動],主張する、争う
 continuous[形],継続した、連続の
 contradict[動],矛盾する、否定する、反論する
 converter[名],変換機
 coordinator[名],調整役
 copyright[名],著作権
 correspondingly[副],それに応じて
 coup[名],政変、大当たり、大成功
 credible[形],信用できる
 curb[名],縁石（歩道と車道の間にある石の段差）
 curse[名],呪い、ののしり
 curve[名],（道路などの）カーブ、曲線
 customarily[副],通列
 dairy[名],乳製品、酪農、酪農業
 debris[名],がれき、破片、残骸、がらくた
 defect[名],欠陥、欠点
 delicate[形],繊細な、細心の注意を要する
 deregulation[名],規制撤廃、緩和
despise[動],見下す、軽蔑する
 diagnose[動],（病気などを）診断する
 dialect[名],方言
 dictator[名],独裁者
 dilute[動],（液体などを）薄める、弱める
 diner[名],食事客、食堂
 directory[名],名簿
 disarmament[名],軍備縮小
 disclose[動],公表する、暴露する
 discretion[名],思慮分別、慎重
 disguise[名],変装
 disorder[名],（心身機能の）障害、疾患
 diversity[名],多様性
 drawing[名],線画、描画、図面、抽選（会）
 drought[名],干ばつ、渇水
 duplicate[形],複製の、二重の
 durable[形],耐久性のある、丈夫な
 duration[名],継続、持続、継続時間（期間）
 ecologist[名],生態学者
 electron[名],電子
 eloquently[副],雄弁に
 emerald[名],エメラルド
 endeavor[名],努力、試み
 endorse[動],（商品を）ほめる、推薦する
 enthusiastically[副],熱心に
 epidemic[名],流行病、伝染病
 equality[名],平等、対等、等しいこと
 equator[名],赤道
 ethic[名],倫理
 ethical[形],倫理的な、倫理学上の
 ex-wife[名],前の妻
 exaggerate[動],誇張する、大げさに言う
 exclusively[副],限定で、独占的に
 expenditure[名],費用、出費、支出
 exploit[動],利用する、つけ込む、搾取する、開発する
 extinct[形],絶滅した
 facilitate[動],容易にする、促進する
 faint[動],気絶する、失神する
 fairy[形],妖精の（ような）
 familiarize[動],～に精通させる、～に親しませる
 faulty[形],欠陥のある、誤った
 favorable[形],好都合な、好ましい
 finalize[動],～を仕上げる、～を最終的に決定する
 fingerprint[名],指紋
 firsthand[名],直接の、（情報などが）直接得た
 flatly[副],きっぱりと
 follow-up[名],追跡、フォロー
 foresee[動],予見する、見越す
 forge[動],鍛造する、構築する
 forge[名],溶鉄炉
 formula[名],式、公式、（決まった）やり方
 forward[動],～を転送する、～を発送する
 fossil[名],化石
 foster[動],促進する、育む
 fraction[名],わずか、ほんの一部、断片
 frame[動],（絵など）を額に入れる、～を組み立てる
 functional[形],機能的な
 furnishings[名],（家・部屋の）備品、備え付家具
 gallon[名],ガロン
 garbage[名],ゴミ
 gender[名],（社会的・文化的）性別
 glacier[名],氷河
 grandson[名],孫息子
 grant[名],補助金、助成金
 gravity[名],重力、引力
 greedy[形],どん欲な、欲の深い
 grief[名],深い悲しみ
 guided[形],ガイド付きの
 harsh[形],手厳しい、辛辣な
 heavy-duty[形],丈夫な、耐久性のある
 hemisphere[名],半球
 hostile[形],敵意のある、非友好的な
 hug[動],抱きしめる
 humble[形],卑しい、身分が低い
 hydrogen[名],水素
 illusion[名],錯覚、思い違い、幻想
 implementation[名],実行、履行
 improper[形],適切でない、無作法な、ふさわしくない
 in-house[形],社内の
 inactive[形],怠惰な、活動していない
 incorrectly[副],間違って
 indecisive[形],優柔不断の
 indispensable[形],不可欠な、必須の
 industrious[形],勤勉な
 inefficient[形],非効率的な、能率の悪い、役に立たない
 infer[動],推測する、推論する
 infinitely[副],無限に
 injection[名],注射
 insane[形],気が狂っている、正気でない
 insightful[形],洞察力のある
 inspiration[名],ひらめき、インスピレーション
 insult[名],侮辱
 integrated[形],統合された、完全な
 intensive[形],集中的な、集約的な、激しい、強い
 intentionally[副],故意に、意図的に
 interpersonal[形],対人の、人と人との間の
 interval[名],間隔、隔たり
 invaluable[形],非常に価値のある、非常に貴重な
 inventive[形],独創的な、発明の
 invoice[名],送り状、請求書
 ironically[副],皮肉なことに
 jam[動],詰まる
 junior[名],（4年制大学の）3年生、（3年制高校の）2年生、（2年制大学の）1年生
 junk[名],くず、がらくた
 juvenile[形],青少年の、未成年者の
 knowledgeable[形],知識が豊富な
 landlord[名],大家、地主
 landmark[名],（建物などのような）目印、重要な出来事
 leaflet[名],ちらし、パンフレット
 legend[名],伝説、伝説的な人物
 legislation[名],立法、法律の制定
 lengthen[動],長くする、長くなる
 lengthy[形],長い、長期にわたる、冗長な
 linger[動],居残る、ぐずぐずする、長引く
 literacy[名],読み書きの能力、(特定の分野の)技能、知識
 living standard[名],生活水準
 lodging[名],宿、宿泊設備、滞在場所
 lucrative[形],利益の上がる、もうかる
 machinery[名],機械（類）
 mature[形],成熟した
 medication[名],医薬、投薬
 meditation[名],瞑想
 Mediterranean[名],地中海
 memorable[形],記憶に残るような、印象的な
 mercy[名],慈悲、哀れみ、情け
 merge[動],合併する、合流する
 merger[名],合併、合同、統合
 metropolis[名],大都市
 microprocessor[名],マイクロプロセッサー、超小型処理装置
 microscope[名],顕微鏡
 miner[名],鉱山労働者
 mix-up[名],取り違え、混同
 mold[名],鋳型
 monarchy[名],君主制、君主国、君主政治
 mortality[名],死亡、死すべき運命、死亡率
 motive[名],動機、誘因
 municipal[形],地方自治の、自治都市の、市（町）の
 nationwide[形],全国的な、全国規模の
 necessity[名],必要、必要性、必需品
 negotiable[形],交渉の余地がある、要相談の
 neighboring[形],隣の、近隣の
 newsstand[名],（路上などの）新聞雑誌の売店
 nominate[動],指名する
 non-tonal[形],音調のない
 notable[形],有名な、注目すべき
 noted[形],有名な、著名な
 notification[名],（正式な）通知
 oak[名],オーク（カシの木など）
 oblige[動],義務付ける、～に強いる
 observance[名],行事、順守
 obsolete[形],すたれた、時代遅れの
 offset[動],相殺する
 omission[名],省略
 ongoing[形],進行中の、継続中の
 outfit[動],装備する
 outlet[名],直販店、販売代理店、店舗
 outlook[名],外観、眺望、態度
 outstretched[形],いっぱいに伸ばした
 overnight[副],一夜にして、突如、一晩（中）、夜通しで
 overtime[名],超過勤務（時間）、残業
 ozone[名],オゾン
 particle[名],粒子、微粒子、素粒子
 patriot[名],愛国者
 paycheck[名],給与、給与小切手
 pedestrian[名],歩行者、徒歩旅行者
 perfume[名],香水、香料
 persistence[名],粘り強さ
 persuasive[形],説得力のある
 pessimistic[形],悲観的な、悲観主義の
 petroleum[名],石油
 pharmacy[名],薬局
 plague[動],苦しめる
 plague[名],疫病、伝染病
 plumber[名],配管工
 polish[動],磨く
 polished[形],洗練された
 pottery[名],陶器類、陶芸
 predecessor[名],前任者、前機種、前身
 pregnant[形],妊娠した、懐妊した
 preliminary[形],予備の、暫定の、事前の
 prescribe[動],（薬など）を処方する、指示する
 prevailing[形],広く行われる、流行している、優勢な
 priceless[形],とても高価な
 privilege[動],特権を与える
 proceeds[名],収益
 prohibit[動],禁止する
 promotional[形],宣伝用の
 property[名],属性、性質
 prosperous[形],繁栄している、裕福な
 publicize[動],公表する、 宣伝する
 punishment[名],罰すること、刑罰
 query[名],質問、問い合わせ
 radiation[名],放射能、放射線、放射
 railing[名],手すり
 rebellion[名],謀反、反乱
 recipient[名],受取人、受賞者
 reconstruction[名],復元、再建
 redevelopment[名],再開発
 refill[動],補充する、再び満たす
 reflector[名],反射板
 refuel[動],燃料を補給する、燃料の補給を受ける
 reign[名],統治、治世
 reinsert[動],再挿入する
 relevant[形],関連性のある、適切な
 reluctance[名],気が進まないこと、不本意
 repayment[名],返金
 reportedly[副],伝えられるところでは、報じられているところでは
 requirement[名],必需品、必要条件
 restructuring[名],事業の再構築、（組織など）の構造改革
 retailer[名],小売り業者
 revision[名],改訂（版）、修正
 rigid[形],堅い、厳格な
 riot[名],暴動
 ripple[名],さざ波、波紋、影響
 rug[名],敷物、じゅうたん、ラグ
 scenic[形],景観の良い
 screening[名],上映
 scrub[動],（ゴシゴシと）磨く、洗う
 serial[形],連続した、連載物の
 shipment[名],積み荷、貨物
 sink[名],流し
 sip[動],ちびちび飲む、すする
 situate[動],置く、位置づける
 skeptical[形],懐疑的な、疑い深い
 skid[動],（車が）スリップする
 slanted[形],傾斜した、斜めの
 slump[動],急に落ち込む、暴落する
 small talk[名],（当たり障りのない）世間話、雑談
 son-in-law[名],娘婿、義理の息子
 sorrow[名],悲しみ
 spaciously[副],広々と、ゆったりと
 speculate[動],推測する、熟考する
 sponsor[動],資金援助する
 spontaneous[形],自発的な、自然発生的な
 stabilize[動],安定させる
 staircase[名],階段
 staple[名],ホチキスの針、留め金
 star[動],主演する/させる
 stationery[名],事務用品、文房具
 statistical[形],統計の、統計上の
 strikingly[副],著しく
 stroll[動],ぶらつく、ぶらぶら歩く
 subtract[動],差し引く、減じる
 suite[名],（ホテルの）スイートルーム、ひと続きの部屋
 summarize[動],要約する
 superb[形],素晴らしい、最高の
 superstition[名],迷信
 supportive[形],協力的な
 suspected[形],疑わしい
 symposium[名],討論会、シンポジウム
 tariff[名],関税
 tech[形],科学技術の
 telecommunications[名],電気通信
 thermometer[名],温度計、体温計
 tolerable[形],耐えられる、我慢できる、まずまずの
 tolerate[動],容認する、大目に見る
 toll[名],（通行）料金
 torture[名],拷問
 toxic[形],有毒な
 tracking[名],追跡、追尾
 trapper[名],（動物を）捕える人
 unanimous[形],満場一致の
 undermine[動],徐々にむしばむ、弱体化させる
 understaffed[形],人手不足の、人員不足の
 unfit[形],不適当な、不適格な
 unforgettable[形],忘れられない
 unfulfilled[形],実現されていない
 unload[動],積み荷を降ろす
 upside[名],上部、良い面、利点
 utmost[形],最大限の、最高の
 utterly[副],全く、完全に
 value[動],大切にする、評価する
 versus[前],（～対～という時の)対
 vertical[形],垂直の
 Vienna[名],（オーストリアの首都）ウィーン
 vocation[名],天職
 vomit[動],吐く、嘔吐する
 wardrobe[名],洋服ダンス、洋服一式
 warranty[名],保証、保証書
 wellness[名],健康であること、健康状態
 wholesale[形],卸の、大量の
 witch[名],魔女
 woodwork[名],木材工芸、木工品
 workforce[名],労働力、全従業員、労働人口
 workload[名],仕事量
