 or ～[接],すなわち（言い換えれば）～
 abuse[動],乱用する、虐待する
 accordingly[副],したがって、それに応じて
 accuse[動],告発する、非難する
 achieve[動],得る、達成する、成し遂げる
 act[名],行為
 active[形],活発な、活動している、機能している
 activity[名],活動
 addition[名],追加、付け足し
 administration[名],管理、経営、政権
 admit[動],入場（入学・入会）を許可する
 advance[名],前進、進歩
 advanced[形],進んだ、進歩した、上級の
 advertising[名],広告
 agency[名],代理店
 aggressive[形],攻撃的な、押しの強い
 agreement[名],合意、同意、協定
 agricultural[形],農業の
 airplane[名],飛行機
 alien[形],外国（人）の、異質の
 alternative[形],代わりの、代替の、二者択一の
 amid[前],～のただ中に、～の真ん中に
 apart[副],離れて、～は別として
 apparent[形],明らかな、明白な、はっきりした
 appear[動],～に見える
 appear[動],現れる、出現する
 appetite[名],食欲
 appointment[名],（会う）約束、予約
 appreciation[名],鑑賞すること、鑑賞眼、評価すること
 apt[形],～しがちである、～する傾向がある
 argument[名],議論、口論、主張
 ashamed[形],恥じている
 assignment[名],（任務などの）割り当て、課題、宿題
 assist[動],手伝う、補助する、援助する
 assumption[名],仮定、想定、憶説、前提
 assurance[名],保証、請け合い
 astonish[動],驚かせる、仰天させる
 astonishing[形],驚くばかりの
 astronaut[名],宇宙飛行士
 astronomer[名],天文学者
 Atlantic[名],（the -）大西洋
 attraction[名],引力、呼び物、魅力
 audience[名],（コンサートや劇などの）聴衆、観客
 audition[名],オーデション
 authentic[形],真正な、本物の
 await[動],待つ
 aware[形],気付いて、意識して、わかって
 awareness[名],気づいていること、認識
 awkward[形],不格好な、ぎこちない、気まずい
 backyard[名],裏庭
 ban[動],禁止する
 ban[名],禁止、禁止令
 barely[副],ほとんど～ない、かろうじて
 basement[名],地階、地下室
 basically[副],基本的に、根本的に
 beast[名],獣、野獣
 beg[動],請う、お願いする
 behavior[名],行動、振る舞い、習性
 Belgian[名],ベルギー人
 belief[名],信念、確信、信条
 benefit[動],～のためになる、利益を得る
 bestseller[名],ベストセラー
 beyond[前],～を越えて、～の向うに
 bill[名],請求書
 biologist[名],生物学者
 bitter[形],苦い、つらい
 blast[名],爆破、爆発、突風
 blossom[動],開花する、咲く、栄える
 board[動],乗り込む、搭乗する
 bold[形],大胆な、派手な
 bond[名],きずな、結び付き
 bonus[名],ボーナス、特別手当、特典
 book[動],予約する
 border[名],へり、境界、国境
 bottom[名],底、最低部、下部
 brain[名],脳、頭脳
 bride[名],花嫁、新婦
 brief[形],短い、簡潔な
 brilliant[形],輝きのある、頭の切れる、素晴らしい
 bronze[名],ブロンズ、青銅色
 Buddhist[名],仏教徒
 builder[名],建てる人、建築家、建築業者
 bunch[名],束、房
 burden[名],重荷、負担
 burst[動],破裂する、爆発する
 burst[名],爆発、破裂
 businessman[名],実業家、サラリーマン
 butterfly[名],蝶
 camp[名],キャンプ
 candle[名],ろうそく
 canoe[名],カヌー
 capacity[名],容量、収容能力、生産能力
 capture[動],捕獲する、捕まえる、記録する
 caring[形],思いやりのある、面倒見の良い
 cautious[形],注意深い、慎重な
 cave[名],洞窟、洞穴
 century[名],世紀
 challenging[形],やりがいのある、困難な
 characteristic[形],特徴のある、独特の
 cinema[名],（英）映画館、映画
 cliff[名],崖、絶壁
 clip[動],切る、はさみで摘む
 clock[名],掛け時計、置き時計
 closure[名],閉鎖
 coating[名],上塗り、コーティング
 collapse[動],崩壊する
 collect[動],集める、収集する、集まる
 college[名],大学
 combat[動],戦う
 combination[名],組み合わせ、結合体
 comeback[名],復帰、返り咲き、カムバック
 comment[動],論評する、説明する
 commit[動],（罪など）を犯す
 commonplace[形],平凡な、ありふれた
 communicate[動],意思伝達する、意思疎通する
 communicative[形],情報伝達の、意思疎通の
 communist[名],共産主義者
 community[名],地域社会、（共通の利害を持つ）社会/団体
 company[名],会社、集団
 comprehend[動],理解する
 compromise[動],妥協する、譲歩する
 compromise[名],妥協、歩み寄り
 conceal[動],隠す、隠ぺいする
 concede[動],譲歩する、（しぶしぶ）認める
 concentrate[動],集中する、凝縮する、終結する、濃縮する
 concession[名],譲歩
 conclude[動],（条約などを）締結する
 concrete[名],コンクリート
 concrete[形],具体的な
 conduct[動],（業務などを）行う、実施する
 confidence[名],信頼、信用、自信
 confident[形],自信がある、確信して、自信に満ちた
 confirmation[名],確認
 conflicting[形],相反する、矛盾する
 confront[動],直面する、取り組む、対決する
 conscious[形],意識して、気づいて、意識の強い
 considerably[副],かなり
consist of ～,～から成り立つ、～ で構成される
 consistent[形],首尾一貫した
 content[形],満足して
 contribute[動],与える、貢献する
 controversial[形],物議を呼ぶ、議論の余地のある
 convenient[形],都合のよい
 convince[動],納得させる、説得する
 cooperation[名],協力
 cop[名],警官、刑事
 cope[動],うまく処理する（with ～を後ろに置いて）
 corporate[形],法人の、企業の、共同の、団体の
 correspondence[名],通信、（手紙やメールでの）やり取り
 corridor[名],廊下、回廊
 count[動],数える
 counter[形],反対の、反撃の
 county[名],郡
 coverage[名],取材、報道
 crack[動],ひびが入る、砕ける
 create[動],作り出す、創造する
 creep[動],忍び込む、這う、這って進む
 crime[名],犯罪
 critical[形],重大な、決定的な、危機的な、
 critical[形],批判的な
 cruel[形],冷酷な、無慈悲な、残酷な
 curriculum[名],教育課程
 curtain[名],カーテン、幕
 cyclist[名],サイクリスト、自転車に乗る人
 damage[名],損害、被害
 danger[名],危険
 dare[動],あえて～する
 data[名],データ
 dawn[名],夜明け、幕開け、（事の）始まり
 dear[形],（手紙の冒頭で）親愛なる、いとしい、かわいい
 death[名],死
 debt[名],負債、借金
 decision[名],決定、決断
 decrease[動],減る、減少する
 deer[名],シカ
 define[動],定義する、意味を明らかにする
 degree[名],程度、度合い、（温度、角度の）度
 degree[名],学位
 delay[動],遅れる、遅らせる、延期する
 delete[動],削除する、消す
 delighted[形],喜んで、喜んだ、大いに喜んで
 demand[動],要求する
 demonstrate[動],明示する、論証する、説明する
 demonstration[名],証明、実演、実証
 departure[名],出発
 deposit[名],預金、敷金、保証金、埋蔵物
 depressed[形],不景気な、うつ状態の、精神的に落ち込んだ
 depth[名],深さ、奥行き
 deputy[名],代理（人）、副官
 describe[動],描写する、説明する、特徴を述べる
 description[名],描写、説明
 design[動],デザインする、設計する
 desirable[形],望ましい
 destroy[動],破壊する
 destruction[名],破壊
 destructive[形],破壊的な、破壊をもたらす
 dialogue[名],対話
 dig[動],掘る
 diligent[形],勤勉な
 diplomatic[形],外交（上）の
direction[名],方向、傾向
 dirt[名],汚れ、泥
 disagree[動],意見が合わない、不賛成である
 discussion[名],討論
 dislike[動],嫌う
 dispute[動],論争する、異議を唱える
 distinctly[副],はっきりと、目立つように
 distract[動],（注意などを）そらす、気を散らす
 distribute[動],配る、配布する
 division[名],部局、部門
 divorce[動],離婚する
 dock[名],波止場、埠頭（ふとう）
 dominate[動],支配する、優位に立つ
 doorway[名],戸口、玄関先
 doubt[動],疑う
 download[動],ダウンロードする
 draft[名],草稿
 dramatic[形],劇的な、演劇の
 drawer[名],引き出し
 drunk[形],酔っぱらった
