 aberration[名],異常、常軌を逸すること
 abstain[動],慎む
 abundance[名],豊富さ、大量、豊富なこと
 acclaim[名],大かっさい、賞賛
 accompaniment[名],伴奏、付属物
 acrimonious[形],辛らつな
 acupuncture[名],針療法
 adhere[動],固執する、くっつく、順守する
 admittance[名],入場許可
 adobe[名],日干しれんが
 advertiser[名],広告主
 affirmative[形],賛成の、肯定の、積極的な
 affluent[形],裕福な、豊富な
 aggravate[動],悪化させる、深刻にする
 airflow[名],気流
 algae[名],藻、藻類（複数形）
 alleviate[動],（苦痛などを）軽減する、和らげる
 aloof[形],よそよそしい、親しみのない、距離を置いた
 amass[動],蓄積する、集める
 amiable[形],愛想の良い、好意的な
 amity[名],友好、親善
 amphibian[名],両生類
 analogy[名],例え、類似点、類推
 anatomy[名],（生物の）生体構造、解剖学的構造、組織
 animate[動],活気づける、生命を与える
 animated[形],生き生きした、アニメ（動画）の
 anomaly[名],異例な物（人）、破格、例外
 antagonist[名],敵対者
 anthropologist[名],人類学者
 appease[動],なだめる、鎮める、和らげる
 applied[形],応用の
 appraise[動],評価する、値を付ける
 apprehend[動],懸念する、恐れる、理解する
 arbitrary[形],任意の、恣意的な、気まぐれな
 archipelago[名],群島、諸島
 arid[形],乾燥した、不毛の、（話などが）つまらない
 aristocracy[名],貴族階級、貴族社会
 arithmetic[名],計算、算術
 artery[名],動脈
 artifact[名],人工物、工芸品、加工品、人工遺物
 artisan[名],職人、熟練工
 austere[形],厳粛な、簡素な、質素な
 authenticate[動],本物であると証明する
 authoritarian[形],権威主義の
 averse[形],嫌って、反対して
 bacteriology[名],細菌学
 bacterium[名],細菌
 baroque[形],バロック式の、バロックの（特にバッハやヘンデルの音楽に代表される）
 BCE[名],紀元前
 benevolent[形],慈悲深い、親切な
 benign[形],（腫瘍などが）良性の
 beverage[名],飲み物、飲料
 biblical[形],聖書の
 bog[名],湿地、沼地
 bomb[動],大失敗する、失敗に終わる
 brittle[形],もろい
 brood[動],（鳥が）卵を抱く
 budding[名],発芽
 buoy[動],（下落しないように）支える、浮かす、元気づける
 burrow[名],（動物の）穴、隠れ場
 cadence[名],リズム、調子
 calamity[名],災難、災害
 canine[形],犬の（ような）、イヌ科の
 carnivore[名],肉食動物
 cascade[名],（段々に落ちる）滝
 cavity[名],虫歯（の穴）、穴、空洞
 chronological order[名],年代順
 chuckle[名],くすくす笑い
 clarification[名],明確化、説明
 clemency[名],寛大さ、慈悲
 cocaine[名],コカイン
 coercion[名],強制、威圧
 coinage[名],作り出したもの
 colloquial[形],口語の
 colonize[動],植民地化する、コロニーを作る
 communally[副],共同で
 compliant[形],従う、従順な
 computation[名],計算
 compute[動],計算する、見積もる、算定する
 concerto[名],協奏曲
 conglomerate[名],複合企業
 congruence[名],一致、調和
 coniferous tree[名],針葉樹
 conserve[動],保護（保存）する
 considerate[形],思いやりのある、理解のある
 converse[動],会話をする
 convex[名],凸面
 cortex[名],皮質
 counterfeit[形],偽造の
