abbreviate[動],（言葉などを）短縮する、省略する
 abide[動],（～に）従う、順守する
 abundant[形],豊富な、十分な
 accentuate[動],を際立たせる、強調する
 accused[名],（theとともに用いて）被告人
 acquisitive[形],貪欲な、欲張りの
 acuity[名],（知覚などの）鋭敏さ、（針の）鋭さ
 adaptation[名],適応、脚色
 adobe[名],日干しれんが
 advent[名],出現、到来
 aeronautics[名],航空学、飛行術
 afflict[動],悩ます、苦しめる
 afford[動],（機会などを）与える、提供する
 aggravate[動],悪化させる、悩ませる
 airborne[形],浮遊の、風媒の、空輸の
 alchemist[名],錬金術師
 algae[名],藻、藻類（複数形）
 algorithm[名],アルゴリズム、一連の算法、問題解決の手順
 alloy[名],合金
 allure[動],魅惑する、誘い込む
 ambience[名],雰囲気、環境
 ambivalent[形],どっちつかずの気持ちを抱いている、どちらか決めかねている
 amenity[名],生活を快適にする施設/環境、アメニティ、快適さ
 amplify[動],増幅する、拡大する
 amplitude[名],豊富さ、大きいこと、広大さ
 analogy[名],例え、類似点、類推
 analytic[形],分析的な
 anatomy[名],（生物の）生体構造、解剖学的構造、組織
 Antarctic[名],南極
 anthropologist[名],人類学者
 antibiotics[名],抗生物質
 antipathy[名],嫌悪、反感
 antipode[名],正反対のもの
 antiquity[名],古代、遺物、遺跡
 antiseptic[形],殺菌の、防腐の
 ape[名],（ゴリラ、チンパンジーなどの）類人猿
 apparatus[名],装置、器具
 aptitude[名],才能、適性
 aquatic[形],水生の、水中の
 arbitrate[動],仲裁する
 ardor[名],熱心、熱意
 arduous[形],骨の折れる、難儀な、つらい
 aristocrat[名],貴族
 aroma[名],香り、香気、気品
 artery[名],動脈
 aspire[動],熱望する
 assimilate[動],同化する、吸収する
 asymmetric[形],非対称の、不均等の
 asymmetry[名],非対称
 autism[名],自閉症
 automate[動],オートメーション化する
 avid[形],熱心な、熱烈な
 axis[名],軸、軸線
 backdrop[名],（演劇の）背景幕、（事件などの）背景
 backlash[名],反動、反発、反感
 balk[動],（～に）しり込みする、（～を）ためらう
 barge[名],（荷物運搬用の）平底船、はしけ
 barter[動],物々交換する
 basin[名],盆地、流域
 beacon[名],信号（灯）、（交通の）標識灯
 beak[名],（鳥などの）くちばし
 bedrock[名],基盤、基礎、根底
 behemoth[名],巨大企業、巨大なもの
 benchmark[名],尺度、基準、水準点
 benevolent[形],慈悲深い、親切な
 bereavement[名],死別、先立たれること
 biodiversity[名],生物多様性
 blanket[形],包括的な、一律の
 bloke[名],やつ、男
 boar[名],イノシシ、（去勢しない）雄ブタ
 boredom[名],退屈
 borough[名],区、郡
 boulder[名],（浸食による）丸石、大岩、巨礫
 boundless[形],無限の、広大な
 bounty[名],（自然の）恵み、報奨金
 brewery[名],（ビールなどの）醸造所、ビール会社
 brow[名],眉（毛）、額
 budding[形],新進の、新たに芽生えた
 bun[名],小型の丸い（菓子）パン
 buoy[動],（下落しないように）支える、浮かす、元気づける
 burglary[名],住居侵入窃盗、押し込み
burn off,焼き払う、（カロリーなどを）消費する
 bustle[名],慌ただしい動き、にぎわい、喧噪
 buttress[動],支える、強化する
 calamitous[形],悲惨な、悲劇的な、破滅的な
 caliber[名],器量、力量、銃の口径
 calve[動],（ウシなどが）子を産む、（氷塊が）分離する
 capillary[形],毛管の、毛細血管の
 carnivore[名],肉食動物
 carpentry[名],大工仕事
 caste[名],カースト、カースト制度
 causeway[名],（低湿地に作った）土手道
 cellular[形],細胞の、細胞から成る
 Celsius[名],摂氏
 cerebral cortex[名],（the ～）大脳皮質
 cetacean[名],クジラ目の動物
 characterization[名],性格の描写、特徴付け
 chiropractor[名],脊柱指圧師、カイロプラクター
 cholera[名],コレラ
 chore[名],雑用
chronological[形],（情報の配列が）年代順の
 civil engineering[名],土木工学
 claim[動],（事故などが人命を）奪う
 clamor[動],うるさく要求する、やかましく叫ぶ
 clearing[名],開拓地、掃除
 cod[名],タラ
 coercive[形],強制的な、威圧的な
 coexistence[名],共存
 cohesion[名],結束、結合
 collide[動],衝突する、一致しない
 colloquial[形],口語の
 colossal[形],巨大な
 combustible[形],可燃性の、燃えやすい
 commence[動],開始する
 composter[名],生ごみ処理機
 compulsion[名],強制、衝動
 computation[名],計算
 compute[動],計算する、見積もる、算定する
 con[名],反対、反対論、反対票
 conceit[名],うぬぼれ
 conceptualization[名],概念化
 concert[動],協定する、一致団結する
 concur[動],賛成する、同時に起こる
 condense[動],濃縮する、要約する
 confectionery[名],菓子類、菓子製造
 confer[動],授与する、授ける、話し合う、協議する
 configuration[名],配置、形状、配列
 conjurer[名],奇術師、手品師
 conspirator[名],共謀者、陰謀家
 contention[名],主張、論点、論争
 converse[動],会話をする
 convoy[名],輸送集団（※船、トラックなど）、護衛艦隊
 cornerstone[名],基礎、土台、隅石、礎石
 cosmos[名],宇宙
 counteract[動],（～の力に）対抗する
 courier[名],運搬人、急送便会社（業者）
 covert[形],隠された、内密の
 coveted[形],切望される、誰もがうらやむ
 coward[名],臆病者
 crackdown[名],取り締まり
 cradle[名],ゆりかご、小児用ベッド
 craftsman[名],職人、工芸家
 craving[名],切望、熱望
 crevice[名],(岩などの)割れ目
 crusade[名],改革（擁護）運動、十字軍
 cryptology[名],暗号学
 cyber[形],サイバースペースの、コンピュータに関係した
 dated[形],日付のある
 daunt[動],をひるませる、おじけづかせる
 decipher[動],解読する、判読する
 decode[動],解読する、暗号を解く
 defective[形],欠陥のある、不完全な
 defer[動],延期する
 deflect[動],～をそらす、～の方向を変える
 dehumanisation[名],人間性の喪失、非人間化
 dehydrated[形],脱水症状の、乾燥させた
 delayering[名],階層削減、組織内合理化
 delineate[動],くわしく説明する、輪郭を描く、描写する
 delusion[名],妄想
 demobilize[動],を除隊（復員）させる
 demographics[名],人口統計データ
 denigration[名],誹謗、中傷
 denote[動],示す、意味する、～の印である
 deposition[名],堆積作用、堆積物
 dermal[名],皮膚の、表皮の
 desalination[名],脱塩、淡水化
 detachment[名],冷静さ、感情を交えないこと、分遣隊
 detour[名],回り道、う回路
 devastate[動],困惑させる、打ちのめす、荒廃させる
 devious[形],遠回りの、曲がりくねった、遠隔の
 dioxide[名],二酸化物
 disabuse[動],（迷い・誤解を）解く、解放する
 disbandment[名],解隊、除隊、解散
 discourse[名],会話、講演、論文
 discrepancy[名],食い違い、不一致、相違
 disintegration[名],崩壊
 dismantling[名],解体
 disoriented[形],方向がわからなくなった、頭が混乱した、道に迷って
 dispersal[名],離散、散布、拡散
 disregard[動],無視する、軽視する
 dissertation[名],学位（博士）論文
 divergence[名],相違、分岐
 divergent[形],異なる、分岐する
 doom[動],（失敗、運命などを）決定的なものとする
 double-edged[形],刃が二つある
 downside[名],（the ～）否定的側面、弱点
 downturn[名],下降、下落、沈滞
 drab[形],（色が）くすんだ、地味な
 dredge[動],浚渫する、浚渫機でさらう
 drowsiness[名],眠気
 duke[名],公爵
 dune[名],砂丘
 dung[名],（動物の）ふん、肥やし
 echolocation[名],反響定位、反響位置決定法
 eclipse[名],日食、月食
 eco-tourism[名],エコツーリズム
 ecosystem[名],生態系
 edible[形],食べられる、食用の
 efficacy[名],効き目、効能
 effluent[形],流れ出る
eject[動],噴出する、追い出す
 elapse[動],（時が）経過する
 elastic[形],弾力性のある、融通性のある
 elicit[動],引き出す、喚起する、聞き出す
 emancipation[名],解放、自由
 embankment[名],堤防、土手、盛り土
 embellish[動],飾る、美しくする
 emerging[形],新たに発生した、新興の
 eminent[形],高名な、著名な
 empirical[形],経験的な、実験に基づく
 en-suite[形],（寝室と）ひと揃いになっている
 encode[動],を暗号化する
 endemic[形],（ある地方に）特有の、固有の
 endoscope[名],内視鏡
 endow[動],授ける、与える、寄付する
 enervate[動],の力を弱める、から気力を奪う
 engrossed[形],没頭した、夢中になった
 engulf[動],飲み込む
 enlighten[動],啓発する、啓蒙する
 ensuing[形],次の、続く
 entwine[動],絡ませる、絡み合わせる
 epitomize[動],の典型（権化、好例）である
 estuary[名],河口
 eventuality[名],起こり得る事態、成り行き
 excavate[動],発掘する、穴を掘る
 exempt[形],免除された
 exorbitant[形],法外な、途方もない
 expedient[形],(目的達成に)役立つ
 exponential[形],急激な、指数関数的な
 expressionism[名],表現主義
 exquisitely[副],この上なく見事に、ものすごく、優雅に、精巧に
 extortion[名],強奪、強要
 factor[動],因数に分解する
 fairground[名],催し物会場
 fallow[形],（土地が）休閑中の
 famished[形],飢えている
 fatally[副],致命的に
 fete[動],歓迎する、敬意を表する
 fetus[名],胎児
 fidelity[名],忠実（度／性）、忠誠、厳守
 firework[名],花火
 flammable[形],可燃性の
 flattering[形],お世辞の
 fledgling[名],羽がそろったばかりのひな鳥
 flinch[動],たじろぐ、尻込みする
 flint[名],火打ち石
 flora[名],（ある地方、時代の）植物相、全植物
 flunk[動],（科目、学科を）落とす
 flustered[形],狼狽した
 footnote[名],脚注
 forage[動],（飼料、食糧を）探し回る
 forensic[形],法廷の、法医学の、討論用の
 forgo[動],なしですませる、慎む
 formative[形],形成（発達）（期）の
 fortuitous[形],偶然の、思いがけない
 free-range[形],（家畜などが）放し飼いの
 froth[名],泡、あぶく
 frugal[形],質素な、倹約する
 fruitless[形],無益な
 fume[名],（有害な）煙
 futile[形],無駄な、無益な、くだらない
 gadget[名],（小さい）道具、便利な小道具
 gait[名],足取り、走り方
 game[名],(狩猟の)獲物
 gape[動],（～を）ぽかんと口を開けて眺める
 gaping[形],大きく開いた
 genie[名],精霊（特にランプの精）
 girder[名],桁 （けた）、大梁（はり）
 glacial[形],氷河時代の、氷の、（人や態度などが）冷淡な
 glamorous[形],魅惑的な
 gland[名],（リンパ腺などの）腺
 globule[名],小球体、血球
 gradient[名],勾配、傾き
 graphic[形],（描写が）露骨な、生々しい
 gravitational[形],重力の、引力の
 grimace[名],しかめっ面
 haphazard[形],偶然の、行き当たりばったりの
 hard-wired[形],生まれつき備わっている、生来の
 head start[名],幸先の良い滑り出し、好発進
 herbalism[名],薬草治療
 herbivore[名],草食動物
 heredity[名],遺伝
 herring[名],ニシン、ニシン科の魚
 hibernate[動],冬眠する
 hieroglyph[名],象形文字
 hilarity[名],浮かれ騒ぎ
 hive[名],ミツバチの巣
 hoard[動],蓄える
 homogeneous[形],均質の、同種の、同質の
 horrifying[形],（光景などが）恐ろしい
 horticulture[名],園芸（学）
 house[名],会社、商店
 hue[名],色、色合い、色調
 human resources[名],人材、人事部
 hypothesize[動],仮説を設ける
 hypothetical[形],仮想的な、仮説の
 icecap[名],氷冠、万年雪
 icon[名],像、アイコン
 idiosyncratic[形],独特な、一風変わった
 igneous[形],火成の
immortalize[動],不朽の名声を与える、不滅にする
 imperative[形],必須の、避けられない、急務の
 imperceptible[形],微細な
 impetus[名],起動力、はずみ
 improvisation[名],即興
 inaudible[形],聞き取れない
 incapacitate[動],無力化する、（能力、資格）を奪う
 incidentally[副],ちなみに、ところで、ついでながら
 incinerate[動],焼却する
 incisor[名],門歯、切歯
 incubate[動],（卵を）かえす、培養する
 inexhaustible[形],無尽蔵の
 inexorable[形],動かし難い、不変の、容赦のない、無情な
 infancy[名],幼年期（時代）
 infectious[形],伝染性の、感染性の
 infest[動],はびこる、横行する
 infirmary[名],診療所、病院
 inflame[動],火が付く、（情熱などを）かき立てる、燃え上がらせる
 infrared[名],赤外線
 ingenuity[名],創意、器用さ
 inmate[名],（刑務所の）収監者、囚人
 innovate[動],導入する、革新する
 innumerable[形],無数の、数え切れないほどの
 insolvency[名],破産状態
 insomnia[名],不眠症
 inspirational[形],霊感を受けた
 instantaneous[形],瞬時の、瞬間的な、即時の
 institutionalize[動],を制度化する
 insularity[名],島国根性、狭量、島国性
 insulate[動],防音する、断熱する、絶縁する
 insulation[名],絶縁、断熱材
 integral[形],不可欠な、完全な
 intelligence[名],諜報機関、諜報活動
 interlink[動],連結する、結びつける
 introvert[名],内向性の人
 intrusive[形],でしゃばりの、押しつけがましい
 inundation[名],洪水
 inventory[名],在庫、在庫目録
 invert[動],逆にする、転化する、ひっくり返す
 invigorating[形],元気づける、爽快にさせる
 invoke[動],生じさせる、呼び覚ます
 irrational[形],不合理な、筋の通らない
 irreversible[形],逆にできない
 jeopardy[名],危険、危険にさらされること
 jolt[名],急激な揺れ、驚き
 keypad[名],（電卓やリモコンなどの）キー操作部
 laconic[形],簡潔な
 laden[形],荷を積んだ、（～を）満載した
 laidback[形],のんびりした
 lapse[名],小さな過失、時の経過
 last-minute[形],土壇場の、間際になっての
